Type,Name,Total Population,Male,Female,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,Over 85,Median age,Households,Households with kids,Households with senior citizens,Avg household size,Avg family size,Total Housing Units,Occupied Housing Units,Vacant Housing,Rental or Vacation Housing,Owner-occupied Housing,Renter-occupied Housing
A,James City County,48102,23294,24808,2709,3169,3376,2838,2211,5273,7866,7043,2931,2589,4591,2628,878,40.8,19003,6248,5345,2.47,2.86,20772,19003,1769,343,14640,4363
A,King and Queen County,6630,3233,3397,355,416,461,410,331,708,1072,1005,457,327,585,385,118,40.9,2673,875,836,2.48,2.94,3010,2673,337,89,2204,469
A,King George County,16803,8443,8360,1272,1313,1333,1181,949,2317,3011,2304,871,642,885,541,184,35.1,6091,2523,1123,2.7,3.12,6820,6091,729,230,4376,1715
A,King William County,13146,6470,6676,912,948,974,854,526,1866,2274,1959,783,517,863,504,166,37,4846,1967,1106,2.69,3.06,5189,4846,343,85,4118,728
A,Lancaster County,11567,5374,6193,481,587,691,644,363,828,1444,1571,828,835,1632,1214,449,49.8,5004,1221,2106,2.23,2.71,6498,5004,1494,943,4155,849
A,Lee County,23589,11444,12145,1374,1438,1625,1487,1333,2975,3503,3522,1429,1262,1923,1286,432,39.7,9706,3155,2753,2.41,2.91,11086,9706,1380,134,7223,2483
A,Loudoun County,169599,83837,85762,16461,15269,12538,9031,6908,29920,36086,22232,7227,4389,5402,3143,993,33.6,59900,27037,6897,2.82,3.24,62160,59900,2260,355,47539,12361
A,Louisa County,25627,12611,13016,1524,1782,1860,1621,1159,3096,4560,3904,1518,1288,1932,1055,328,38.8,9945,3577,2451,2.56,2.97,11855,9945,1910,1226,8110,1835
A,Lunenburg County,13146,6997,6149,644,728,900,857,722,1577,2120,1985,732,671,1208,803,199,40.5,4998,1576,1668,2.39,2.91,5736,4998,738,165,3884,1114
A,Madison County,12520,6099,6421,720,813,907,867,569,1389,2065,1914,765,628,1029,596,258,40,4739,1633,1292,2.6,3.03,5239,4739,500,250,3641,1098
A,Mathews County,9207,4441,4766,420,489,555,529,316,848,1282,1397,721,657,1050,679,264,46.2,3932,1044,1405,2.32,2.75,5333,3932,1401,891,3331,601
A,Mecklenburg County,32380,15972,16408,1737,1913,2096,1905,1654,3909,4965,4595,1981,1849,3310,1935,531,40.9,12951,3977,4203,2.38,2.87,17403,12951,4452,2715,9641,3310
A,Middlesex County,9932,4773,5159,375,525,657,527,334,890,1385,1515,828,666,1242,740,248,46.8,4253,1094,1583,2.27,2.73,6362,4253,2109,1626,3533,720
A,Montgomery County,83629,43806,39823,3980,3952,4000,10571,17989,11722,9728,8737,3215,2530,3931,2408,866,25.9,30997,8392,5030,2.4,2.87,32527,30997,1530,160,17090,13907
A,Nelson County,14445,7031,7414,759,805,968,916,605,1475,2217,2474,980,826,1410,777,233,42.8,5887,1787,1730,2.42,2.88,8554,5887,2667,2115,4759,1128
A,New Kent County,13462,6819,6643,759,927,1055,910,506,1666,2646,2323,815,587,783,387,98,38.4,4925,1893,951,2.65,2.97,5203,4925,278,53,4369,556
A,Northampton County,13093,6126,6967,724,806,948,883,620,1215,1881,1804,741,700,1502,917,352,42.4,5321,1663,2010,2.39,2.94,6547,5321,1226,488,3649,1672
A,Northumberland County,12259,5848,6411,527,629,693,642,386,949,1532,1611,1047,1036,1841,1082,284,50.1,5470,1285,2304,2.24,2.7,8057,5470,2587,1861,4783,687
A,Nottoway County,15725,8113,7612,878,977,1109,960,941,2098,2505,2027,812,722,1387,956,353,38.6,5664,1972,1817,2.48,3,6373,5664,709,102,4016,1648
A,Orange County,25881,12524,13357,1552,1621,1756,1570,1134,3015,4169,3559,1555,1506,2564,1461,419,40.4,10150,3367,3055,2.5,2.9,11354,10150,1204,484,7822,2328
A,Page County,23177,11366,11811,1286,1515,1563,1520,1229,2991,3573,3251,1441,1164,2017,1236,391,39,9305,3090,2601,2.46,2.91,10557,9305,1252,651,6872,2433
A,Patrick County,19407,9551,9856,1114,1179,1178,1148,975,2513,2922,2768,1282,1132,1720,1092,384,40.5,8141,2516,2254,2.36,2.81,9823,8141,1682,730,6535,1606
A,Pittsylvania County,61745,30146,31599,3514,3812,4231,4143,2977,7443,10322,9492,3848,3104,5000,2990,869,39.6,24684,8472,6513,2.49,2.93,28011,24684,3327,998,19767,4917
A,Powhatan County,22377,12313,10064,1309,1537,1506,1584,1063,3396,4370,3525,1327,877,1155,583,145,36.8,7258,2977,1351,2.74,3.03,7509,7258,251,36,6448,810
A,Prince Edward County,19720,9641,10079,983,1108,1205,2601,2724,1996,2442,2263,849,754,1352,984,459,31.5,6561,2221,1909,2.43,2.99,7527,6561,966,205,4489,2072
A,Prince George County,33047,17821,15226,1980,2370,2506,3026,2904,5361,5639,4301,1451,1109,1492,740,168,32.1,10159,4639,1779,2.76,3.11,10726,10159,567,36,7418,2741
A,Prince William County,280813,140067,140746,24007,24461,23582,20433,17746,45311,53512,38377,12227,7684,8490,3856,1127,31.9,94570,45000,9981,2.94,3.32,98052,94570,3482,226,67787,26783
A,Pulaski County,35127,17334,17793,1937,2032,2059,1922,1849,4957,5293,5584,2297,1864,2887,1875,571,40.3,14643,4419,3826,2.32,2.8,16325,14643,1682,729,10794,3849
A,Rappahannock County,6983,3471,3512,356,421,518,403,252,699,1148,1286,507,430,567,309,87,42.6,2788,856,709,2.5,2.94,3303,2788,515,309,2097,691
A,Richmond County,8809,4939,3870,360,425,490,518,532,1238,1567,1232,462,428,757,545,255,40.3,2937,909,963,2.4,2.93,3512,2937,575,280,2273,664
A,Roanoke County,85778,40535,45243,4553,5581,5911,5448,3698,9782,13843,14240,5014,4063,7184,4757,1704,40.9,34686,11358,8968,2.41,2.88,36121,34686,1435,161,26783,7903
A,Rockbridge County,20808,10427,10381,1123,1231,1387,1329,1196,2421,3229,3151,1274,1208,1942,1027,290,40.4,8486,2718,2367,2.43,2.84,9550,8486,1064,382,6590,1896
A,Rockingham County,67725,33340,34385,4246,4691,4947,4772,3915,8556,11017,9601,3526,3023,5051,3252,1128,37.5,25355,9121,6441,2.61,3.02,27328,25355,1973,818,19787,5568
A,Russell County,30308,15353,14955,1626,1755,1803,1974,1871,4416,4950,4578,1789,1505,2311,1284,446,38.7,11789,4025,2916,2.44,2.87,13191,11789,1402,68,9557,2232
A,Scott County,23403,11297,12106,1203,1354,1430,1381,1215,2945,3433,3420,1516,1346,2239,1397,524,41.4,9795,2955,2943,2.35,2.82,11355,9795,1560,291,7657,2138
A,Shenandoah County,35075,17075,18000,1948,2250,2311,2064,1563,4239,5427,5018,2236,1936,3302,2119,662,40.9,14296,4423,4218,2.42,2.86,16709,14296,2413,1462,10462,3834
A,Smyth County,33081,16008,17073,1769,2100,2057,2018,1842,4315,4983,4788,1972,1833,2953,1848,603,40,13493,4353,3845,2.37,2.83,15111,13493,1618,469,9995,3498
A,Southampton County,17482,9226,8256,899,1104,1243,1179,1092,2128,2971,2470,984,921,1298,946,247,38.6,6279,2233,1787,2.53,3.02,7058,6279,779,98,4663,1616
A,Spotsylvania County,90395,44532,45863,6879,7894,8008,6350,4603,12552,16510,12846,4184,3043,4342,2443,741,34.3,31308,14393,5266,2.87,3.22,33329,31308,2021,564,25735,5573
A,Stafford County,92446,46486,45960,7172,8559,8632,6974,5027,12853,18272,12958,4067,2458,3256,1670,548,33.1,30187,15222,3846,3.01,3.32,31405,30187,1218,121,24322,5865
A,Surry County,6829,3304,3525,385,475,561,469,323,700,1198,976,444,337,529,341,91,39.4,2619,963,725,2.61,3.09,3294,2619,675,369,2022,597
A,Sussex County,12504,7185,5319,576,713,731,684,874,2054,2242,1802,604,549,889,575,211,37.6,4126,1378,1234,2.41,2.94,4653,4126,527,85,2869,1257
A,Tazewell County,44598,21369,23229,2359,2678,2733,2975,2545,5283,6854,7222,2710,2317,3819,2364,739,40.7,18277,5838,5097,2.4,2.85,20390,18277,2113,209,14129,4148
A,Warren County,31584,15530,16054,2100,2356,2363,2013,1637,4079,5593,4453,1727,1370,2134,1360,399,37.1,12087,4387,2780,2.57,3.04,13299,12087,1212,534,8967,3120
A,Washington County,51103,24789,26314,2592,2965,3134,3328,3052,6339,8124,7758,3215,2762,4457,2555,822,40.3,21056,6506,5574,2.36,2.84,22985,21056,1929,502,16255,4801
A,Westmoreland County,16718,8023,8695,866,1052,1226,1051,706,1633,2369,2407,1167,1068,1779,1082,312,42.8,6846,2079,2339,2.43,2.91,9286,6846,2440,1676,5423,1423
A,Wise County,40123,19543,20580,2313,2557,2566,3171,2731,5236,6012,5986,2131,1832,3034,1949,605,37.8,16013,5488,4160,2.44,2.91,17792,16013,1779,95,12057,3956
A,Wythe County,27599,13177,14422,1507,1665,1745,1729,1485,3821,4145,4076,1667,1396,2389,1435,539,39.4,11511,3658,3076,2.36,2.83,12744,11511,1233,270,8903,2608
